iter	Passed	Remaining
946	2060	115
947	2062	113
948	2064	110
949	2066	108
950	2067	106
951	2069	104
952	2071	102
953	2073	100
954	2075	97
955	2077	95
956	2079	93
957	2081	91
958	2083	89
959	2085	86
960	2087	84
961	2089	82
962	2091	80
963	2093	78
964	2095	75
965	2096	73
966	2098	71
967	2100	69
968	2102	67
969	2104	65
970	2106	62
971	2108	60
972	2110	58
973	2111	56
974	2113	54
975	2115	52
976	2118	49
977	2119	47
978	2121	45
979	2123	43
980	2124	41
981	2126	38
982	2128	36
983	2130	34
984	2132	32
985	2133	30
986	2135	28
987	2137	25
988	2139	23
989	2140	21
990	2142	19
991	2144	17
992	2146	15
993	2148	12
994	2151	10
995	2152	8
996	2154	6
997	2156	4
998	2158	2
999	2160	0
